city,confirm,dead,deadRate,heal,healRate,province,showHeal,showRate,suspect,update_time
澄迈县,9,1,11.11,7,77.78,海南,True,False,0,2020-02-28 17:41:58
昌江县,7,0,0.00,2,28.57,海南,True,False,0,2020-02-28 17:41:58
临高县,6,0,0.00,6,100.00,海南,True,False,0,2020-02-28 17:41:58
琼海,6,1,16.67,4,66.67,海南,True,False,0,2020-02-28 17:41:58
陵水县,4,0,0.00,4,100.00,海南,True,False,0,2020-02-28 17:41:58
文昌,3,0,0.00,3,100.00,海南,True,False,0,2020-02-28 17:41:58
定安县,3,1,33.33,2,66.67,海南,True,False,0,2020-02-28 17:41:58
保亭,3,0,0.00,1,33.33,海南,True,False,0,2020-02-28 17:41:58
东方,3,0,0.00,2,66.67,海南,True,False,0,2020-02-28 17:41:58
乐东,2,0,0.00,2,100.00,海南,True,False,0,2020-02-28 17:41:58
琼中县,1,0,0.00,1,100.00,海南,True,False,0,2020-02-28 17:41:58
贵阳,36,1,2.78,27,75.00,贵州,True,False,0,2020-02-28 17:41:58
遵义,32,0,0.00,19,59.38,贵州,True,False,0,2020-02-28 17:41:58
毕节,23,0,0.00,15,65.22,贵州,True,False,0,2020-02-28 17:41:58
黔南州,17,0,0.00,15,88.24,贵州,True,False,0,2020-02-28 17:41:58
铜仁,10,0,0.00,10,100.00,贵州,True,False,0,2020-02-28 17:41:58
黔东南州,10,0,0.00,10,100.00,贵州,True,False,0,2020-02-28 17:41:58
六盘水,10,1,10.00,8,80.00,贵州,True,False,0,2020-02-28 17:41:58
安顺,4,0,0.00,4,100.00,贵州,True,False,0,2020-02-28 17:41:58
黔西南州,4,0,0.00,4,100.00,贵州,True,False,0,2020-02-28 17:41:58
宝坻区,60,0,0.00,40,66.67,天津,True,False,0,2020-02-28 17:41:58
河东区,15,0,0.00,11,73.33,天津,True,False,0,2020-02-28 17:41:58
河北区,12,0,0.00,10,83.33,天津,True,False,0,2020-02-28 17:41:58
北辰区,6,0,0.00,4,66.67,天津,True,False,0,2020-02-28 17:41:58
南开区,6,0,0.00,4,66.67,天津,True,False,0,2020-02-28 17:41:58
和平区,6,0,0.00,5,83.33,天津,True,False,0,2020-02-28 17:41:58
外地来津,6,0,0.00,6,100.00,天津,True,False,0,2020-02-28 17:41:58
宁河区,4,0,0.00,2,50.00,天津,True,False,0,2020-02-28 17:41:58
西青区,4,0,0.00,4,100.00,天津,True,False,0,2020-02-28 17:41:58
东丽区,4,0,0.00,4,100.00,天津,True,False,0,2020-02-28 17:41:58
河西区,4,0,0.00,4,100.00,天津,True,False,0,2020-02-28 17:41:58
滨海新区,3,0,0.00,3,100.00,天津,True,False,0,2020-02-28 17:41:58
武清区,2,0,0.00,2,100.00,天津,True,False,0,2020-02-28 17:41:58
津南区,2,0,0.00,1,50.00,天津,True,False,0,2020-02-28 17:41:58
红桥区,2,0,0.00,2,100.00,天津,True,False,0,2020-02-28 17:41:58
地区待确认,0,3,0.00,0,0.00,天津,True,False,0,2020-02-28 17:41:58
晋中,37,0,0.00,26,70.27,山西,True,False,0,2020-02-28 17:41:58
太原,20,0,0.00,18,90.00,山西,True,False,0,2020-02-28 17:41:58
运城,19,0,0.00,18,94.74,山西,True,False,0,2020-02-28 17:41:58
大同,12,0,0.00,8,66.67,山西,True,False,0,2020-02-28 17:41:58
晋城,10,0,0.00,7,70.00,山西,True,False,0,2020-02-28 17:41:58
长治,8,0,0.00,7,87.50,山西,True,False,0,2020-02-28 17:41:58
朔州,8,0,0.00,6,75.00,山西,True,False,0,2020-02-28 17:41:58
忻州,7,0,0.00,5,71.43,山西,True,False,0,2020-02-28 17:41:58
吕梁,6,0,0.00,6,100.00,山西,True,False,0,2020-02-28 17:41:58
阳泉,4,0,0.00,4,100.00,山西,True,False,0,2020-02-28 17:41:58
临汾,2,0,0.00,2,100.00,山西,True,False,0,2020-02-28 17:41:58
沈阳,28,0,0.00,23,82.14,辽宁,False,False,0,2020-02-28 17:41:58
大连,19,0,0.00,12,63.16,辽宁,False,False,0,2020-02-28 17:41:58
葫芦岛,12,1,8.33,6,50.00,辽宁,False,False,0,2020-02-28 17:41:58
锦州,12,0,0.00,11,91.67,辽宁,False,False,0,2020-02-28 17:41:58
盘锦,11,0,0.00,11,100.00,辽宁,False,False,0,2020-02-28 17:41:58
阜新,8,0,0.00,8,100.00,辽宁,False,False,0,2020-02-28 17:41:58
丹东,7,0,0.00,6,85.71,辽宁,False,False,0,2020-02-28 17:41:58
铁岭,7,0,0.00,5,71.43,辽宁,False,False,0,2020-02-28 17:41:58
朝阳市,6,0,0.00,3,50.00,辽宁,False,False,0,2020-02-28 17:41:58
鞍山,4,0,0.00,1,25.00,辽宁,False,False,0,2020-02-28 17:41:58
本溪,3,0,0.00,3,100.00,辽宁,False,False,0,2020-02-28 17:41:58
辽阳,3,0,0.00,3,100.00,辽宁,False,False,0,2020-02-28 17:41:58
营口,1,0,0.00,1,100.00,辽宁,False,False,0,2020-02-28 17:41:58
地区待确认,94,2,2.13,26,27.66,香港,True,False,0,2020-02-28 17:41:58
长春,45,0,0.00,35,77.78,吉林,True,False,0,2020-02-28 17:41:58
